   51 Nemausa            7.35   0.08   142.92542     2.72261   176.21813    9.96223   0.0655281   0.27061282   2.3672119
   52 Europa             6.31   0.18   268.51722   341.84354   129.05580    7.46905   0.1005193   0.18064466   3.0992216
   53 Kalypso            8.81   0.15    50.37920   312.45008   143.88045    5.15240   0.2041502   0.23248616   2.6194170
   54 Alexandra          7.66   0.15    95.70574   344.99948   313.55028   11.83265   0.2002059   0.22114420   2.7082308
   55 Pandora            7.80   0.15   125.16204     4.45706    10.70610    7.18275   0.1420548   0.21482647   2.7610707
   56 Melete             8.31   0.15   211.27111   102.84565   193.79771    8.07553   0.2344639   0.23531993   2.5983456
   57 Mnemosyne          7.03   0.15   203.70630   215.03797   199.43102   15.21573   0.1196263   0.17662779   3.1460336
   58 Concordia          8.86   0.15     5.80043    30.64378   161.48408    5.06042   0.0454007   0.22222735   2.6994236
   59 Elpis              7.93   0.15   238.88645   211.13536   170.35931    8.64748   0.1194035   0.22071020   2.7117799
   60 Echo               8.21   0.27   292.84899   270.38591   191.86514    3.60050   0.1817320   0.26610597   2.3938649
   61 Danae              7.68   0.15   217.74768    14.13274   333.96828   18.19851   0.1643306   0.19105597   2.9855818
   62 Erato              8.76   0.15   291.76598   273.33592   125.79083    2.22374   0.1825941   0.17873587   3.1212477
   63 Ausonia            7.55   0.25   226.91238   294.89017   338.16015    5.78877   0.1249711   0.26573243   2.3961078
   64 Angelina           7.67   0.48    87.73107   179.07257   309.74139    1.30886   0.1260663   0.22456206   2.6806810
   65 Cybele             6.62   0.01   127.70252   106.79921   155.83741    3.54789   0.1041456   0.15502535   3.4318970
   66 Maja               9.36   0.15    33.12677    43.89158     7.76159    3.04677   0.1718189   0.22897883   2.6460974
   67 Asia               8.28   0.15    39.53877   105.59639   202.92596    6.01930   0.1861240   0.26168297   2.4207637
   68 Leto               6.78   0.05    45.90749   303.58336    44.45842    7.95714   0.1864218   0.21251989   2.7810129
   69 Hesperia           7.05   0.19   245.99054   288.76929   185.22340    8.57737   0.1643288   0.19109561   2.9851689
   70 Panopaea           8.11   0.14    52.56840   255.46490    47.97383   11.58010   0.1842459   0.23319744   2.6140879
   71 Niobe              7.30   0.40    23.93341   266.16455   316.43046   23.28538   0.1738022   0.21558052   2.7546285
   72 Feronia            8.94   0.15   273.51626   102.61643   208.22092    5.41090   0.1205392   0.28893224   2.2660634
   73 Klytia             9.00   0.15   186.74957    54.91041     7.36779    2.38275   0.0437001   0.22673360   2.6635373
   74 Galatea            8.66   0.15    56.23016   173.63084   197.58197    4.05608   0.2362650   0.21258285   2.7804637
   75 Eurydike           8.96   0.23     2.44321   338.83476   359.55966    5.01777   0.3091715   0.22594575   2.6697255
